label,image1,item-count,item-key
Szilvás gombócz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/805d05e1-ef4b-4a3c-9853-9f6ce05e6e72.png?alt=media&token=ca40be80-0689-4a9f-a1b9-b37ccd3f02ae,1,A123
Barackizé,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/25c984dc-6127-48e7-82d8-f857ee1aea20.png?alt=media&token=cda538f4-fbb3-40c5-a56b-382817fcea91,1,B456
Fagyi,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/e2418c23-1b3b-40a2-a717-ca7186643008.png?alt=media&token=58bc0dfc-c8f0-49a1-84ba-74c1a4af7823,1,C789
Kalács,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1d3d0c2c-402b-40db-971b-cdb9fdf346ed.png?alt=media&token=840a2c07-7232-482e-bb93-190a8c583dcf,1,type-c56cb161-41e8-4353-b547-58d38764bdf5
Káli kavics,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/70221c29-18b8-484d-a7eb-27483530fb46.png?alt=media&token=2e60a946-8034-41a4-b8e2-508a5cf5286e,1,type-53de0ac1-e921-4a3d-9ef8-1c4676c82299
Kompót,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/475f5559-3bf3-445c-b2fc-5a901f015487.png?alt=media&token=155499ce-f447-4487-b9af-d99bd84292fc,1,type-e3f1bdbc-f442-48a6-96f5-36980b855573
Kürtős,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b9f5e7fa-1efc-4016-b6af-af41f390c989.png?alt=media&token=7be0b26f-9e01-415d-b01c-e7cffd6e0ccd,1,type-60dc3fc7-3438-4f72-950e-2930295fb398
Linzer,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f4fe4f87-3712-4781-a6b8-37f3dcef592c.png?alt=media&token=d929475d-2f43-4e7b-a2fa-64ae9872aab3,1,type-24534507-fb85-461a-83bd-c8874bf010a6
recipe_dessert-mandula.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0796bd93-3fc9-4513-88ff-a190406ac294.png?alt=media&token=dc91bd9f-0733-44ee-8827-1c46517cfe10,1,type-eb5fd340-bf6f-4135-b5e2-f2a0a2485f24
recipe_dessert-mez.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/35909c8c-b2c0-4b28-8476-e7c7378d49ed.png?alt=media&token=92d769e3-3ca6-476f-aaa7-f304d5935dc1,1,type-22d83958-5001-48e2-8bcc-c8de3f944c73
recipe_dessert-pite.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/4480f04c-2a57-4d9b-91e6-5d77ab2cec19.png?alt=media&token=e33ff238-ff30-4496-8806-7b63a8285787,1,type-ee1d5cb2-2e64-4fa9-937a-659582a60892
asd,https://momehu-my.sharepoint.com/:i:/g/personal/pongracz_rita_csilla_stud_mome_hu/EaaqIS9rS45Eg2sNsAD2EXABk4Lmep63pk5Ml2vO3jvESQ?e=slJm8q,1,type-f195e970-6b17-47cf-b5f3-feb005066786
mome,https://momehu-my.sharepoint.com/:f:/g/personal/pongracz_rita_csilla_stud_mome_hu/EvAOCZOjT4lFp3yPLVaA1NgB0ML80r194sDmqv7nW5CUng?e=D5aDVR,1,type-c758c065-b2be-4c9a-8f06-5ca03d717a95
git,https://github.com/Csump/ko-egy-piac/blob/2a60776d68ce07b10ae1940a8263388f855fe509/test.png,1,type-02eda0fd-6855-4a3b-a034-907ee8f76ab9
git,https://github.com/Csump/ko-egy-piac/blob/2a60776d68ce07b10ae1940a8263388f855fe509/test.png,0,type-f942b2b6-dd4b-43b9-af92-f6f51c0ca38a
,,0,type-1ecfa859-0200-486e-9ac3-d261ae5c858e
,,0,type-ec707608-3022-4000-80a5-e58afc95d907
