label,image,item-count,item-key
place_gyumis-1-front,https://csump.github.io/src/places/place_gyumis-1-front.png,1,place_gyumis-1-front
place_gyumis-2-front,https://csump.github.io/src/places/place_gyumis-2-front.png,1,place_gyumis-2-front
place_gyumis-back,https://csump.github.io/src/places/place_gyumis-back.png,1,place_gyumis-back
place_hentes-1-front,https://csump.github.io/src/places/place_hentes-1-front.png,1,place_hentes-1-front
place_hentes-2-front,https://csump.github.io/src/places/place_hentes-2-front.png,1,place_hentes-2-front
place_hentes-back,https://csump.github.io/src/places/place_hentes-back.png,1,place_hentes-back
place_pek-1-front,https://csump.github.io/src/places/place_pek-1-front.png,1,place_pek-1-front
place_pek-2-front,https://csump.github.io/src/places/place_pek-2-front.png,1,place_pek-2-front
place_pek-back,https://csump.github.io/src/places/place_pek-back.png,1,place_pek-back
place_speci-1-front,https://csump.github.io/src/places/place_speci-1-front.png,1,place_speci-1-front
place_speci-2-front,https://csump.github.io/src/places/place_speci-2-front.png,1,place_speci-2-front
place_speci-back,https://csump.github.io/src/places/place_speci-back.png,1,place_speci-back
place_tejes-1-front,https://csump.github.io/src/places/place_tejes-1-front.png,1,place_tejes-1-front
place_tejes-2-front,https://csump.github.io/src/places/place_tejes-2-front.png,1,place_tejes-2-front
place_tejes-back,https://csump.github.io/src/places/place_tejes-back.png,1,place_tejes-back
place_well-back,https://csump.github.io/src/places/place_well-back.png,1,place_well-back
place_well-front,https://csump.github.io/src/places/place_well-front.png,1,place_well-front
place_zodseges-1-front,https://csump.github.io/src/places/place_zodseges-1-front.png,1,place_zodseges-1-front
place_zodseges-2-front,https://csump.github.io/src/places/place_zodseges-2-front.png,1,place_zodseges-2-front
place_zodseges-back,https://csump.github.io/src/places/place_zodseges-back.png,1,place_zodseges-back
