label,image,item-count,item-key
place_gyumis-1-front,https://csump.github.io/src/places/place_gyumis-1-front.png,1,place_gyumis-1-front
place_gyumis-2-front,https://csump.github.io/src/places/place_gyumis-2-front.png,1,place_gyumis-2-front
place_hentes-1-front,https://csump.github.io/src/places/place_hentes-1-front.png,1,place_hentes-1-front
place_hentes-2-front,https://csump.github.io/src/places/place_hentes-2-front.png,1,place_hentes-2-front
place_pek-1-front,https://csump.github.io/src/places/place_pek-1-front.png,1,place_pek-1-front
place_pek-2-front,https://csump.github.io/src/places/place_pek-2-front.png,1,place_pek-2-front
place_speci-1-front,https://csump.github.io/src/places/place_speci-1-front.png,1,place_speci-1-front
place_speci-2-front,https://csump.github.io/src/places/place_speci-2-front.png,1,place_speci-2-front
place_tejes-1-front,https://csump.github.io/src/places/place_tejes-1-front.png,1,place_tejes-1-front
place_tejes-2-front,https://csump.github.io/src/places/place_tejes-2-front.png,1,place_tejes-2-front
place_well-front,https://csump.github.io/src/places/place_well-front.png,1,place_well-front
place_zodseges-1-front,https://csump.github.io/src/places/place_zodseges-1-front.png,1,place_zodseges-1-front
place_zodseges-2-front,https://csump.github.io/src/places/place_zodseges-2-front.png,1,place_zodseges-2-front
