label,image,item-count,item-key
barack,https://csump.github.io/src/recipe-cards/recipe_dessert-barack.png,1,recipe_dessert-barack
fagyi,https://csump.github.io/src/recipe-cards/recipe_dessert-fagyi.png,1,recipe_dessert-fagyi
gombocz,https://csump.github.io/src/recipe-cards/recipe_dessert-gombocz.png,1,recipe_dessert-gombocz
kalacs,https://csump.github.io/src/recipe-cards/recipe_dessert-kalacs.png,1,recipe_dessert-kalacs
kavics,https://csump.github.io/src/recipe-cards/recipe_dessert-kavics.png,1,recipe_dessert-kavics
kompot,https://csump.github.io/src/recipe-cards/recipe_dessert-kompot.png,1,recipe_dessert-kompot
kurtos,https://csump.github.io/src/recipe-cards/recipe_dessert-kurtos.png,1,recipe_dessert-kurtos
linzer,https://csump.github.io/src/recipe-cards/recipe_dessert-linzer.png,1,recipe_dessert-linzer
mandula,https://csump.github.io/src/recipe-cards/recipe_dessert-mandula.png,1,recipe_dessert-mandula
mez,https://csump.github.io/src/recipe-cards/recipe_dessert-mez.png,1,recipe_dessert-mez
pite,https://csump.github.io/src/recipe-cards/recipe_dessert-pite.png,1,recipe_dessert-pite
pogi,https://csump.github.io/src/recipe-cards/recipe_dessert-pogi.png,1,recipe_dessert-pogi
szelet,https://csump.github.io/src/recipe-cards/recipe_dessert-szelet.png,1,recipe_dessert-szelet
torta,https://csump.github.io/src/recipe-cards/recipe_dessert-torta.png,1,recipe_dessert-torta
zserbo,https://csump.github.io/src/recipe-cards/recipe_dessert-zserbo.png,1,recipe_dessert-zserbo
falat,https://csump.github.io/src/recipe-cards/recipe_main-falat.png,1,recipe_main-falat
kaviar,https://csump.github.io/src/recipe-cards/recipe_main-kaviar.png,1,recipe_main-kaviar
kobasz,https://csump.github.io/src/recipe-cards/recipe_main-kobasz.png,1,recipe_main-kobasz
langos,https://csump.github.io/src/recipe-cards/recipe_main-langos.png,1,recipe_main-langos
lazac,https://csump.github.io/src/recipe-cards/recipe_main-lazac.png,1,recipe_main-lazac
nokedli,https://csump.github.io/src/recipe-cards/recipe_main-nokedli.png,1,recipe_main-nokedli
porkolt,https://csump.github.io/src/recipe-cards/recipe_main-porkolt.png,1,recipe_main-porkolt
salata,https://csump.github.io/src/recipe-cards/recipe_main-salata.png,1,recipe_main-salata
souffle,https://csump.github.io/src/recipe-cards/recipe_main-souffle.png,1,recipe_main-souffle
spagetti,https://csump.github.io/src/recipe-cards/recipe_main-spagetti.png,1,recipe_main-spagetti
szendo,https://csump.github.io/src/recipe-cards/recipe_main-szendo.png,1,recipe_main-szendo
tarhonya,https://csump.github.io/src/recipe-cards/recipe_main-tarhonya.png,1,recipe_main-tarhonya
betu,https://csump.github.io/src/recipe-cards/recipe_soup-betu.png,1,recipe_soup-betu
borso,https://csump.github.io/src/recipe-cards/recipe_soup-borso.png,1,recipe_soup-borso
hus,https://csump.github.io/src/recipe-cards/recipe_soup-hus.png,1,recipe_soup-hus
ko,https://csump.github.io/src/recipe-cards/recipe_soup-ko.png,1,recipe_soup-ko
meggy,https://csump.github.io/src/recipe-cards/recipe_soup-meggy.png,1,recipe_soup-meggy
mentes,https://csump.github.io/src/recipe-cards/recipe_soup-mentes.png,1,recipe_soup-mentes
